date,ticker,open,high,low,close,volume
2025-06-11,AAPL,203.5,204.5,198.41,198.78,60989857.0
2025-06-12,AAPL,199.08,199.68,197.3601,199.2,43904635.0
2025-06-13,AAPL,199.73,200.37,195.7,196.45,51447349.0
2025-06-16,AAPL,197.3,198.685,196.5636,198.42,43020691.0
2025-06-17,AAPL,197.2,198.39,195.21,195.64,38856152.0
2025-06-18,AAPL,195.94,197.57,195.07,196.58,45394689.0
2025-06-20,AAPL,198.235,201.7,196.855,201.0,96813542.0
2025-06-23,AAPL,201.625,202.3,198.96,201.5,55814272.0
2025-06-24,AAPL,202.59,203.44,200.2,200.3,54064033.0
2025-06-25,AAPL,201.45,203.67,200.6201,201.56,39525730.0
2025-06-26,AAPL,201.43,202.64,199.46,201.0,50799121.0
2025-06-27,AAPL,201.89,203.22,200.0,201.08,73188571.0
2025-06-30,AAPL,202.01,207.39,199.2607,205.17,91912816.0
2025-07-01,AAPL,206.665,210.1865,206.1401,207.82,78788867.0
2025-07-02,AAPL,208.91,213.34,208.14,212.44,67941811.0
2025-07-03,AAPL,212.145,214.65,211.8101,213.55,34955836.0
2025-07-07,AAPL,212.68,216.23,208.8,209.95,50228984.0
2025-07-08,AAPL,210.1,211.43,208.45,210.01,42848928.0
2025-07-09,AAPL,209.53,211.33,207.22,211.14,48749367.0
2025-07-10,AAPL,210.505,213.48,210.03,212.41,44443635.0
2025-07-11,AAPL,210.565,212.13,209.86,211.16,39765812.0
2025-07-14,AAPL,209.925,210.91,207.54,208.62,38840111.0
2025-07-15,AAPL,209.22,211.89,208.92,209.11,42296339.0
2025-07-16,AAPL,210.295,212.4,208.64,210.16,47490532.0
2025-07-17,AAPL,210.57,211.8,209.59,210.02,48068141.0
2025-07-18,AAPL,210.87,211.79,209.7045,211.18,48974591.0
2025-07-21,AAPL,212.1,215.78,211.63,212.48,51377434.0
2025-07-22,AAPL,213.14,214.95,212.2301,214.4,46404072.0
2025-07-23,AAPL,215.0,215.15,212.41,214.15,46989301.0
2025-07-24,AAPL,213.9,215.69,213.53,213.76,46022620.0
2025-07-25,AAPL,214.7,215.24,213.4,213.88,40268781.0
2025-07-28,AAPL,214.03,214.845,213.06,214.05,37858017.0
2025-07-29,AAPL,214.175,214.81,210.82,211.27,51411723.0
2025-07-30,AAPL,211.895,212.39,207.72,209.05,45512514.0
2025-07-31,AAPL,208.49,209.84,207.16,207.57,80698431.0
2025-08-01,AAPL,210.865,213.58,201.5,202.38,104434473.0
2025-08-04,AAPL,204.505,207.88,201.675,203.35,75109298.0
2025-08-05,AAPL,203.4,205.34,202.16,202.92,44155079.0
2025-08-06,AAPL,205.63,215.38,205.59,213.25,108483103.0
2025-08-07,AAPL,218.875,220.85,216.58,220.03,90224834.0
2025-08-08,AAPL,220.83,231.0,219.25,229.35,113853967.0
2025-08-11,AAPL,227.92,229.56,224.76,227.18,61806132.0
2025-08-12,AAPL,228.005,230.8,227.07,229.65,55672301.0
2025-08-13,AAPL,231.07,235.0,230.43,233.33,69878546.0
2025-08-14,AAPL,234.055,235.12,230.85,232.78,51916275.0
